gap,voltage,emitter_radius,current_limit_density
0.00010538873280002364,116.4373629133578,0.00015240835612670618,331923.0855178445
0.00010214317602631984,96.33270638512315,0.00021051734866132544,260598.31240326646
0.00010236828642981656,121.51587519468295,0.00016047115622442633,367093.1015479053
9.215800392250449e-05,111.84208174356183,0.0002510144142052157,390401.24092415354
8.123271338271759e-05,75.65064087325896,0.00020972733676404741,286025.0470529898
9.74686955692945e-05,128.53734109820536,0.00018162437654418046,432634.7185539154
8.858338691278118e-05,115.66838211942118,0.00021090985897777,444122.52649922506
9.634114574898545e-05,117.16385831661724,0.0001427364645235637,398516.73450368363
0.00011413612293072664,77.68681796053275,0.00025502710558897345,147264.70095425268
8.935757943461363e-05,97.02315627373403,0.00019787641243314803,339024.89930825867
8.233210966756265e-05,92.24788145395488,0.00023392822727003436,367921.473389633
9.125535568087987e-05,125.6058993309161,0.00014992759999069263,490093.97290473315
9.174375031066735e-05,108.63190720483988,0.00019839899970057926,386333.02196177
0.00010647666058907582,119.3656967962498,0.0001988848393225425,326004.96540482715
0.00010228128609365114,96.60485192963986,0.00025253917459699797,257013.59506083507
0.00011135592836425654,83.63432330708662,0.00020860736628512908,170826.09551573024
0.00010657254161309551,103.27508722095008,0.00019681872812683446,261749.8704534119
9.625547445760282e-05,73.82903536625052,0.00017203707957102725,194392.27904773096
0.00011256081538664138,119.65787031955493,0.00017978827968110627,291262.65950985777
8.667891679630817e-05,107.8998639473239,0.00020248068829658452,418380.5737457388
8.090848292535443e-05,115.48526440512244,0.0001926693752366056,536408.3295800564
8.360191443102568e-05,91.2715580877921,0.00014259344958563965,364880.30231293954
0.00010889437402385802,128.2418814636942,0.00023915503090332293,340525.65028930834
9.84750892100555e-05,123.58726727933187,0.00024753929262077203,398976.3169680508
8.645087116134409e-05,116.70300982442572,0.00015682989067983329,483687.02421187254
0.00010004179100413456,81.67832247111805,0.00020648433722468594,207909.9865697798
8.609248410852675e-05,98.00326022362205,0.00015302908893625322,381530.21139236516
0.00010785281500310944,72.62822594723373,0.0002206688111647774,151056.83938441097
9.784625102296123e-05,79.25736952405286,0.000173748054060681,213697.94421090197
9.524084904385931e-05,110.98293719454728,0.00021913071616302824,363459.06786225346
9.206048356591506e-05,114.68572935446903,0.0002272393537144259,406049.99241345486
0.00010521130372475554,128.05058394605263,0.00023223769903011886,368320.5618191271
9.447250442213563e-05,89.54952148828912,0.0001529289135147076,274675.0158097173
8.350599677264405e-05,92.22758236209214,0.00024992142141651297,358106.4914139519
8.472023608482063e-05,98.17334867654847,0.0001676256789073857,384537.593050624
0.00011847590658198058,81.36828154505714,0.00014448950674114157,151565.06895553574
0.0001163432276283043,77.7952903201283,0.00020658229632697803,143693.2928740877
0.00010798828535242997,98.54229557355603,0.00018451067406349264,244963.00583754756
9.063479845838079e-05,83.61456094305304,0.00023957476917588961,267179.3269930938
0.00011876705509390895,110.18883968095064,0.00023699017664771622,229146.52896428062
0.00011115003615863177,96.22911513233984,0.00017805666713872583,217608.31207122921
0.00010867560756635984,119.96069176347027,0.00025434792740836943,308365.5468191236
9.797446008575155e-05,112.01590612013494,0.00017491014057681423,351132.8564114606
9.088966247380637e-05,88.74199848292245,0.00020180685550780578,287252.4482584408
8.385563848613998e-05,119.93558808371208,0.00017071581086811234,541585.503835465
0.00011610409586175369,118.28586144980812,0.00025232522840587567,266562.5072282927
9.823105159334445e-05,93.24870274181046,0.00015975293810984218,266797.9888653561
8.809453459180922e-05,87.29968623581465,0.00014538927432707947,297726.78319049586
9.22382649660261e-05,110.94973023849852,0.00019221164720036456,389394.88536016864
0.00010316878275767585,78.38514901655859,0.0002590850676867005,181367.02792054653
8.707091131756928e-05,81.9944921485065,0.0002470012719505897,274257.12335399113
0.00011426457136369502,70.44173618506032,0.0002298329623348339,126609.32395098006
0.0001103407811934084,117.2154626501283,0.00024689509890542304,293179.3429462556
0.00010877851823803747,109.89105139552193,0.0002472135967637436,269263.6755805798
9.728372159100415e-05,112.30992271758011,0.00020226300324637387,350619.9590707539
0.00010509235362809773,116.84374186131808,0.00017791148621969515,333600.7729648888
0.00010336391875650944,97.5349465323004,0.00023264149185331858,250961.44137586255
0.00010599386406219281,104.12447175717364,0.00021939935158013136,264152.27115374565
8.337777284559557e-05,78.38781988765943,0.0001848389274648452,289561.0739381022
9.663229608682439e-05,76.87180441215841,0.00015133600016738183,214491.26537833238
8.166456695447571e-05,110.1041777074283,0.00022961475336188313,482947.2012193162
9.975963276978076e-05,98.26577236858796,0.00017149526191074377,279290.04966881406
9.319444849331142e-05,103.91416638887132,0.0002524175780640535,344335.05369575694
8.578096755464188e-05,115.89993144496154,0.0001689164690006822,494553.0673671016
0.0001,100.0,0.00014,290121.39126100304
0.0001,100.0,0.0002,283020.60612782516
0.0001,100.0,0.00026000000000000003,281124.2359061861
